Title,Complete Path,Folder Name,Extension,Format,Format Profile,Codec ID,File Size (MB),File Size (GB),Duration,Duration Formatted,Overall Bitrate (kbps),Overall Bitrate (Mbps),Recorded Date,Writing Application,Video Codec,Video Bitrate (kbps),Video Bitrate (Mbps),Resolution,Aspect Ratio,Frame Rate (FPS),Color Space,Chroma Subsampling,Video Bit Depth,Scan Type,Encoding Library,HDR Format,Color Range,Color Primaries,Transfer Characteristics,Matrix Coefficients,Maximum Content Light Level (cd/m²),Maximum Frame-Average Light Level (cd/m²),Number of Audio Tracks,Audio Track 1 Codec,Audio Track 1 Bitrate (kbps),Audio Track 1 Channels,Audio Track 1 Language,Audio Track 1 Default,Audio Track 1 Forced,Subtitles Info,TMDB Genre(s),TMDB Rating,Polish Title,Source Directory,Audio Track 2 Codec,Audio Track 2 Bitrate (kbps),Audio Track 2 Channels,Audio Track 2 Language,Audio Track 2 Default,Audio Track 2 Forced,Audio Track 3 Codec,Audio Track 3 Bitrate (kbps),Audio Track 3 Channels,Audio Track 3 Language,Audio Track 3 Default,Audio Track 3 Forced,index,Audio Tracks,Subtitles,Audio Track 4 Codec,Audio Track 4 Bitrate (kbps),Audio Track 4 Channels,Audio Track 4 Language,Audio Track 4 Default,Audio Track 4 Forced
"Boże, zbaw Rosję (1990)","\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Boże, zbaw Rosję (1990)\Boże, zbaw Rosję (1990).mp4","Boże, zbaw Rosję (1990)",.mp4,MPEG-4,Base Media,isom,929.8,0.91,1901077,00:31:41,4102.79,4.103,2025-04-04 11:45:40.4085559+02:00,Lavf61.9.106,AVC,3965.16,3.965,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,132300.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,103,"[{'Codec': 'AAC', 'Bitrate (kbps)': 132300.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bracia (1971),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bracia (1971)\Bracia (1971).mp4,Bracia (1971),.mp4,MPEG-4,Base Media,isom,184.8,0.18,396159,00:06:36,3913.15,3.913,2025-04-04 11:43:19.7610662+02:00,Lavf61.9.106,AVC,3807.28,3.807,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,98601.0,2.0,pl,Yes,,,Dramat,6.5,Bracia,Docu,,,,,,,,,,,,,104,"[{'Codec': 'AAC', 'Bitrate (kbps)': 98601.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Brudnopis (1977),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Brudnopis (1977)\Brudnopis (1977).mp4,Brudnopis (1977),.mp4,MPEG-4,Base Media,isom,476.42,0.47,988949,00:16:28,4041.18,4.041,2025-04-04 11:42:19.6859975+02:00,Lavf61.9.106,AVC,3935.66,3.936,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,98035.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,105,"[{'Codec': 'AAC', 'Bitrate (kbps)': 98035.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Budowałem miasto (1972),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Budowałem miasto (1972)\Budowałem miasto (1972).mp4,Budowałem miasto (1972),.mp4,MPEG-4,Base Media,isom,271.32,0.26,576746,00:09:36,3946.32,3.946,2025-04-04 11:40:37.5417930+02:00,Lavf61.9.106,AVC,3814.77,3.815,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,124108.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,106,"[{'Codec': 'AAC', 'Bitrate (kbps)': 124108.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Budujemy nowe wsie (1946),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Budujemy nowe wsie (1946)\Budujemy nowe wsie (1946).mp4,Budujemy nowe wsie (1946),.mp4,MPEG-4,Base Media,isom,303.17,0.3,643519,00:10:43,3951.93,3.952,2025-04-04 11:39:37.8881833+02:00,Lavf61.9.106,AVC,3861.7,3.862,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,82855.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,107,"[{'Codec': 'AAC', 'Bitrate (kbps)': 82855.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Być (1967),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Być (1967)\Być (1967).mp4,Być (1967),.mp4,MPEG-4,Base Media,isom,468.56,0.46,957717,00:15:57,4104.09,4.104,2025-04-04 11:38:23.8259984+02:00,Lavf61.9.106,AVC,3998.43,3.998,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,98214.0,2.0,pl,Yes,,,,0.0,Tak miało być,Docu,,,,,,,,,,,,,108,"[{'Codec': 'AAC', 'Bitrate (kbps)': 98214.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Byłem kapo (1963),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Byłem kapo (1963)\Byłem kapo (1963).mp4,Byłem kapo (1963),.mp4,MPEG-4,Base Media,isom,761.38,0.74,1569301,00:26:09,4069.9,4.07,2025-04-04 11:36:37.2216750+02:00,Lavf61.9.106,AVC,3959.0,3.959,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,103358.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,109,"[{'Codec': 'AAC', 'Bitrate (kbps)': 103358.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Chyłe pola (1970),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Chyłe pola (1970)\Chyłe pola (1970).mp4,Chyłe pola (1970),.mp4,MPEG-4,Base Media,isom,607.64,0.59,1237354,00:20:37,4119.44,4.119,2025-04-04 11:35:01.6719434+02:00,Lavf61.9.106,AVC,4003.07,4.003,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,108891.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,110,"[{'Codec': 'AAC', 'Bitrate (kbps)': 108891.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Chłopi '81 (1981),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Chłopi '81 (1981)\Chłopi '81 (1981).mp4,Chłopi '81 (1981),.mp4,MPEG-4,Base Media,isom,3548.42,3.47,7215466,02:00:15,4125.34,4.125,2025-04-04 11:31:43.8361822+02:00,Lavf61.9.106,AVC,4014.56,4.015,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,103220.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,111,"[{'Codec': 'AAC', 'Bitrate (kbps)': 103220.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Cisza i ciemność (1999),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Cisza i ciemność (1999)\Cisza i ciemność (1999).mp4,Cisza i ciemność (1999),.mp4,MPEG-4,Base Media,isom,547.02,0.53,1148714,00:19:08,3994.7,3.995,2025-04-04 11:26:12.2846565+02:00,Lavf61.9.106,AVC,3891.42,3.891,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,96000.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,112,"[{'Codec': 'AAC', 'Bitrate (kbps)': 96000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Co to jest Dudek_ (1967),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Co to jest Dudek_ (1967)\Co to jest Dudek_ (1967).mp4,Co to jest Dudek_ (1967),.mp4,MPEG-4,Base Media,isom,638.74,0.62,1318911,00:21:58,4062.57,4.063,2025-04-04 11:24:35.4821811+02:00,Lavf61.9.106,AVC,3960.7,3.961,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,96000.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,113,"[{'Codec': 'AAC', 'Bitrate (kbps)': 96000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Cudzoziemka (1986),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Cudzoziemka (1986)\Cudzoziemka (1986).mp4,Cudzoziemka (1986),.mp4,MPEG-4,Base Media,isom,331.39,0.32,694399,00:11:34,4003.33,4.003,2025-04-04 11:23:01.2198977+02:00,Lavf61.9.106,AVC,3901.26,3.901,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,96000.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,114,"[{'Codec': 'AAC', 'Bitrate (kbps)': 96000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
